idx,cdacordao,classe,rank_bm25,rank_dense,rank_hyde,rank_hybrid,rank_basehyb
0,1863427,Agravo Interno Cível / Aposentadoria Especial (Art. 57/8),6.0,10.0,1.0,1.0,4.0
1,1863439,Agravo Interno Cível / Práticas Abusivas,1.0,,1.0,1.0,3.0
2,1863459,Agravo Interno Cível / Auxílio-Doença Acidentário,3.0,6.0,2.0,2.0,4.0
3,1863462,Agravo Interno Cível / Dívida Ativa,,,2.0,3.0,
4,1863467,Apelação Cível / Efeito Suspensivo / Impugnação / Embargos à Execução,1.0,4.0,1.0,1.0,2.0
5,1863472,Apelação Cível / Dívida Ativa,3.0,,4.0,4.0,6.0
6,1863498,Agravo de Instrumento / Concurso Público - Nomeação/Posse Tardia,1.0,,1.0,1.0,6.0
7,1863504,Agravo Interno Cível / Contratos Bancários,1.0,,2.0,2.0,2.0
8,1863524,Apelação Cível / Obrigação de Fazer / Não Fazer,1.0,,1.0,1.0,5.0
9,1863548,Apelação Cível / Evicção ou Vicio Redibitório,1.0,,1.0,1.0,3.0
10,1863554,Apelação / Remessa Necessária / FGTS/Fundo de Garantia Por Tempo de Serviço,1.0,,2.0,1.0,2.0
11,1863555,Apelação Cível / Penhora / Depósito/ Avaliação,1.0,,1.0,1.0,2.0
12,1863564,Apelação Cível / Dívida Ativa,8.0,,5.0,3.0,
13,1863579,Apelação Cível / PASEP,1.0,,4.0,1.0,5.0
14,1863584,Apelação Cível / Alienação Fiduciária,1.0,4.0,1.0,1.0,1.0
15,1863592,Apelação Cível / Inclusão Indevida em Cadastro de Inadimplentes,1.0,,3.0,1.0,2.0
16,1863598,Apelação Cível / Contratos Bancários,2.0,,3.0,1.0,4.0
17,1863605,"Apelação Cível / Revisão de Juros Remuneratórios, Capitalização/Anatocismo",2.0,,7.0,2.0,4.0
18,1863611,Apelação Cível / Inclusão Indevida em Cadastro de Inadimplentes,1.0,,,2.0,4.0
19,1863619,Apelação Cível / Dívida Ativa,,,,,
20,1863620,Apelação Cível / Dívida Ativa,,,7.0,,
21,1863626,Apelação Cível / Dívida Ativa,,,3.0,5.0,
22,1863627,Apelação Cível / Promessa de Compra e Venda,1.0,2.0,1.0,1.0,1.0
23,1863634,Apelação Cível / Dívida Ativa,1.0,2.0,5.0,3.0,1.0
24,1863640,Apelação Cível / Inclusão Indevida em Cadastro de Inadimplentes,1.0,6.0,1.0,1.0,3.0
25,1863641,Apelação Cível / Dívida Ativa,,,8.0,,
26,1863647,Apelação Cível / Dívida Ativa,1.0,,,2.0,2.0
27,1863648,Apelação Cível / Dívida Ativa,,,2.0,3.0,
28,1863654,Apelação Cível / Dívida Ativa,1.0,,3.0,1.0,2.0
29,1862307,Embargos de Declaração Criminal / Crimes de Trânsito,1.0,,,2.0,3.0
30,1862351,Agravo Interno Cível / Obrigação de Fazer / Não Fazer,,,4.0,8.0,
31,1862357,Agravo Interno Cível / Urgência,,,4.0,8.0,
32,1862366,Agravo Interno Cível / Incapacidade Laborativa Permanente,1.0,1.0,,3.0,1.0
33,1862383,"Agravo Interno Cível / Defeito, nulidade ou anulação",1.0,,2.0,1.0,2.0
34,1862417,Agravo Interno Cível / Dívida Ativa,,,,,
35,1862438,Apelação Cível / Obrigação de Fazer / Não Fazer,1.0,,1.0,1.0,6.0
36,1862446,Apelação Cível / Incapacidade Laborativa Permanente,1.0,,1.0,1.0,5.0
37,1862447,Agravo de Instrumento / Multa Cominatória / Astreintes,1.0,1.0,2.0,1.0,1.0
38,1862458,Embargos de Declaração Cível / Contratos Bancários,1.0,,1.0,1.0,2.0
39,1862465,Apelação Cível / Dívida Ativa,,,,,
40,1862467,Apelação Cível / Dívida Ativa,,,,,
41,1862503,Agravo Interno Cível / Provas em geral,1.0,5.0,2.0,2.0,1.0
42,1856357,Agravo de Instrumento / Extinção da Execução,1.0,1.0,1.0,1.0,1.0
43,1856386,Apelação Cível / Seguro,1.0,1.0,3.0,1.0,1.0
44,1856509,Revisão Criminal / Tráfico de Drogas e Condutas Afins,,,,,
45,1856531,Embargos de Declaração Cível / Perdas e Danos,1.0,7.0,1.0,1.0,1.0
46,1856537,Embargos de Declaração Cível / Crédito Direto ao Consumidor - CDC,1.0,,1.0,1.0,2.0
